Material Number,Material Group,Material type,Base Unit of Measure,Gross weight,Net weight,Weight Unit,Division,Material description,Plant,Batch Management,Purchasing Group,MRP Type,MRP Controller,Planned Deliv. Time,GR processing time,Period Indicator,Lot Sizing Procedure,ReOrder Level,Max Stock Level,Procurement Type,Special procurement,Sched. Margin Key,In-house production,QM Control Key,Loading Group,Batch Management(Plant),Availability check,Prod. stor. location,MRP Group,Planning Strategy Group,Storage loc. for EP,Valuation area,Valuation Type,Price control,Moving price,Standard price,Price unit,Valuation Class
FG-100-113,800-002,FERT,PC,0,0,KG,30,Shaft 100-113,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-114,800-003,FERT,PC,0,0,KG,40,Impeller 100-114,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-115,800-001,FERT,PC,0,0,KG,50,Pump Casing 100-115,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-116,800-002,FERT,PC,0,0,KG,60,Shaft 100-116,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-117,800-003,FERT,PC,0,0,KG,10,Impeller 100-117,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-118,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-118,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-125,800-002,FERT,PC,0,0,KG,10,Shaft 100-125,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-126,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-126,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-127,800-002,FERT,PC,0,0,KG,30,Shaft 100-127,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-128,800-003,FERT,PC,0,0,KG,40,Impeller 100-128,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-129,800-001,FERT,PC,0,0,KG,50,Pump Casing 100-129,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-131,800-003,FERT,PC,0,0,KG,10,Impeller 100-131,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-132,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-132,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-133,800-002,FERT,PC,0,0,KG,30,Shaft 100-133,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-134,800-003,FERT,PC,0,0,KG,40,Impeller 100-134,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-135,800-001,FERT,PC,1,0.9,KG,50,Pump Casing 100-135,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-136,800-002,FERT,PC,0,0,KG,60,Shaft 100-136,1710,,180,PD,180,20,1,,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-137,800-003,FERT,PC,0,0,KG,10,Impeller 100-137,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-138,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-138,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-139,800-002,FERT,PC,0,0,KG,30,Shaft 100-139,1710,,180,PD,180,20,1,,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-140,800-003,FERT,PC,0,0,KG,40,Impeller 100-140,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-141,800-001,FERT,PC,18,16.2,KG,50,Pump Casing 100-141,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-142,800-002,FERT,PC,0,0,KG,60,Shaft 100-142,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-143,800-003,FERT,PC,0,0,KG,10,Impeller 100-143,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-144,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-144,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-145,800-002,FERT,PC,0,0,KG,30,Shaft 100-145,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-146,800-003,FERT,PC,10,10,KG,40,Impeller 100-146,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-147,800-001,FERT,PC,10,10,KG,50,Pump Casing 100-147,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-148,800-002,FERT,PC,10,10,KG,60,Shaft 100-148,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-149,800-003,FERT,PC,10,7,KG,10,Impeller 100-149,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-150,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-150,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-151,800-002,FERT,PC,10,5,KG,10,Shaft 100-151,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-152,800-001,FERT,PC,100,90,KG,20,Pump Casing 100-152,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-153,800-002,FERT,PC,10,5,KG,30,Shaft 100-153,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-154,800-003,FERT,PC,18,16.2,KG,40,Impeller 100-154,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-155,800-001,FERT,PC,0,0,KG,50,Pump Casing 100-155,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-156,800-002,FERT,PC,0.1,0.1,KG,60,Shaft 100-156,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-157,800-003,FERT,PC,0.5,0.2,KG,10,Impeller 100-157,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-158,800-001,FERT,PC,0.5,0.2,KG,20,Pump Casing 100-158,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-159,800-002,FERT,PC,0,0,KG,30,Shaft 100-159,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-160,800-003,FERT,PC,10,8,KG,40,Impeller 100-160,1710,X,180,PD,180,20,1,W,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-161,800-001,FERT,PC,5.5,5,KG,50,Pump Casing 100-161,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-162,800-002,FERT,PC,5.5,5,KG,60,Shaft 100-162,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-163,800-003,FERT,PC,5.5,5,KG,10,Impeller 100-163,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-164,800-001,FERT,PC,10,5,KG,20,Pump Casing 100-164,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-165,800-002,FERT,PC,500,500,KG,30,Shaft 100-165,1710,,180,PD,180,20,1,T,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-166,800-003,FERT,PC,950,950,KG,40,Impeller 100-166,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-167,800-001,FERT,PC,1,1,KG,50,Pump Casing 100-167,1710,X,180,PD,180,20,1,T,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-168,800-002,FERT,PC,1,1,KG,60,Shaft 100-168,1710,,180,PD,180,20,1,T,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-169,800-003,FERT,PC,1,1,KG,10,Impeller 100-169,1710,X,180,PD,180,20,1,T,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-170,800-001,FERT,PC,1,1,KG,20,Pump Casing 100-170,1710,X,180,PD,180,20,1,T,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-171,800-002,FERT,PC,0,0,KG,30,Shaft 100-171,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-172,800-003,FERT,PC,0,0,KG,40,Impeller 100-172,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-173,800-001,FERT,PC,0,0,KG,50,Pump Casing 100-173,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-174,800-002,FERT,PC,0,0,KG,60,Shaft 100-174,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-175,800-003,FERT,PC,18,16.2,KG,10,Impeller 100-175,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-176,800-001,FERT,PC,1,1,KG,20,Pump Casing 100-176,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-177,800-002,FERT,PC,6.85,5,KG,10,Shaft 100-177,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-178,800-001,FERT,PC,1,1,KG,20,Pump Casing 100-178,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-179,800-002,FERT,PC,18,16.2,KG,30,Shaft 100-179,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-180,800-003,FERT,PC,0.5,0.2,KG,40,Impeller 100-180,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-181,800-001,FERT,PC,10,7,KG,50,Pump Casing 100-181,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-182,800-002,FERT,PC,5.5,5,KG,60,Shaft 100-182,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-183,800-003,FERT,PC,10,5,KG,10,Impeller 100-183,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-184,800-001,FERT,PC,"2,500","2,500",KG,20,Pump Casing 100-184,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-185,800-002,FERT,PC,10,7,KG,30,Shaft 100-185,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-186,800-003,FERT,PC,0,0,KG,40,Impeller 100-186,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-187,800-001,FERT,PC,200,0,KG,50,Pump Casing 100-187,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-189,800-003,FERT,PC,1,1,KG,10,Impeller 100-189,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-190,800-001,FERT,PC,6.85,5,KG,20,Pump Casing 100-190,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-191,800-002,FERT,PC,6.85,5,KG,30,Shaft 100-191,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-192,800-003,FERT,PC,6.85,5,KG,40,Impeller 100-192,1710,X,180,PD,180,20,1,,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-193,800-001,FERT,PC,0,0,KG,50,Pump Casing 100-193,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-194,800-002,FERT,PC,0,0,KG,60,Shaft 100-194,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-195,800-003,FERT,PC,0.415,0.4,KG,10,Impeller 100-195,1710,X,180,PD,180,20,1,W,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-196,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-196,1710,X,180,PD,180,20,1,W,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-197,800-002,FERT,PC,0,0,KG,30,Shaft 100-197,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-198,800-003,FERT,PC,0,0,KG,40,Impeller 100-198,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-199,800-001,FERT,PC,5.5,5,KG,50,Pump Casing 100-199,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-203,800-002,FERT,PC,1,1,KG,10,Shaft 100-203,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-204,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-204,1710,X,180,PD,180,20,1,W,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-205,800-002,FERT,PC,0,0,KG,30,Shaft 100-205,1710,,180,PD,180,20,1,W,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-206,800-003,FERT,PC,0,0,KG,40,Impeller 100-206,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-207,800-001,FERT,PC,10,7,KG,50,Pump Casing 100-207,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-208,800-002,FERT,PC,300,300,KG,60,Shaft 100-208,1710,,180,PD,180,20,1,T,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-209,800-003,FERT,PC,6.85,5,KG,10,Impeller 100-209,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-210,800-001,FERT,PC,6.85,5,KG,20,Pump Casing 100-210,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-211,800-002,FERT,PC,6.85,5,KG,30,Shaft 100-211,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-212,800-003,FERT,PC,6.85,5,KG,40,Impeller 100-212,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-213,800-001,FERT,PC,300,300,KG,50,Pump Casing 100-213,1710,X,180,PD,180,20,1,,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-214,800-002,FERT,PC,3,3,KG,60,Shaft 100-214,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-215,800-003,FERT,PC,6.85,5,KG,10,Impeller 100-215,1710,X,180,PD,180,20,1,,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-216,800-001,FERT,PC,6.85,5,KG,20,Pump Casing 100-216,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-218,800-003,FERT,PC,3,3,KG,40,Impeller 100-218,1710,X,180,PD,180,20,1,T,EX,0,0,X,,000,15,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-219,800-001,FERT,PC,3,3,KG,50,Pump Casing 100-219,1710,X,180,PD,180,20,1,T,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-228,800-001,FERT,PC,10,7,KG,20,Pump Casing 100-228,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-229,800-002,FERT,PC,6.85,5,KG,10,Shaft 100-229,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-230,800-001,FERT,PC,300,300,KG,20,Pump Casing 100-230,1710,X,180,PD,180,20,1,T,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-233,800-001,FERT,PC,6.85,5,KG,50,Pump Casing 100-233,1710,X,180,PD,180,20,1,,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-234,800-002,FERT,PC,7.4,5,KG,60,Shaft 100-234,1710,,180,PD,180,20,1,,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-235,800-003,FERT,PC,6.85,5,KG,10,Impeller 100-235,1710,X,180,PD,180,20,1,,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-236,800-001,FERT,PC,7.4,5,KG,20,Pump Casing 100-236,1710,X,180,PD,180,20,1,,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-239,800-001,FERT,PC,10,9,KG,50,Pump Casing 100-239,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-248,800-001,FERT,PC,10,7,KG,20,Pump Casing 100-248,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-249,800-002,FERT,PC,0,0,KG,30,Shaft 100-249,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-250,800-003,FERT,PC,0,0,KG,40,Impeller 100-250,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-251,800-001,FERT,PC,0,0,KG,50,Pump Casing 100-251,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-252,800-002,FERT,PC,"2,500","2,500",KG,60,Shaft 100-252,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-253,800-003,FERT,PC,1,1,KG,10,Impeller 100-253,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-254,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-254,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-255,800-002,FERT,PC,0,0,KG,10,Shaft 100-255,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-257,800-002,FERT,PC,10,7,KG,30,Shaft 100-257,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-258,800-003,FERT,PC,0,0,KG,40,Impeller 100-258,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-259,800-001,FERT,PC,0,0,KG,50,Pump Casing 100-259,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-260,800-002,FERT,PC,0,0,KG,60,Shaft 100-260,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-261,800-003,FERT,PC,0,0,KG,10,Impeller 100-261,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-262,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-262,1710,X,180,PD,180,20,1,W,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-263,800-002,FERT,PC,10,10,KG,30,Shaft 100-263,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-264,800-003,FERT,PC,1,1,KG,40,Impeller 100-264,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
